,cv_acc,cv_acc_err,cv_f1,cv_f1_err,cv_loss,cv_loss_err,test_acc,test_f1
EI_svd10,0.7682802150493895,0.0016699848024490124,0.672815808451125,0.0017940303068439425,-0.5289026321807764,0.00385463252656636,0.768344218209758,0.6719047969917258
NS_svd10,0.8621544260716878,0.001080646361931764,0.8021689728949264,0.00267353083484493,-0.39318564596698274,0.008063511508953217,0.860161352285824,0.7972747106688929
FT_svd10,0.7042125816096163,0.01881679290934255,0.7028412026505866,0.018125414855768712,-0.5731398592856318,0.017875317701207833,0.6980407222435652,0.6952107054418813
JP_svd10,0.604082684185192,0.010088313595448055,0.5505656653236044,0.010643312244990611,-0.6638077345318756,0.0039873977723487285,0.6146753745678064,0.5548134031899699
EI_svd50,0.7654798272554085,0.004074724272598523,0.6799897340159943,0.003359697864654519,-0.5124775051563952,0.007296187570170199,0.7645024971187092,0.6778314053814654
NS_svd50,0.8628135402471848,0.0023833457849153222,0.8057342530098252,0.0030162198999631093,-0.3790327026672492,0.006575518282149839,0.8624663849404534,0.803427935661791
FT_svd50,0.7216719886644836,0.01654121785161788,0.7207268398751789,0.016251874981279665,-0.5489799863050667,0.011809050494403285,0.723780253553592,0.7228211693990987
JP_svd50,0.6187403475230677,0.01586765714565522,0.5776461717867918,0.015125863795032238,-0.6509268194063818,0.003244761080359142,0.6215904725316942,0.5804470738362291
EI_svd100,0.7684446885105863,0.006085310484976374,0.6803512357810023,0.006368842781155333,-0.5115220387306458,0.008564293719765883,0.7625816365731848,0.6722979692694244
NS_svd100,0.8647892556660632,0.0019013188083014797,0.8068297320410467,0.0028846608364725473,-0.3709684998410924,0.005286309470542495,0.8620822128313484,0.8039038786697906
FT_svd100,0.722494491562769,0.017835130007475948,0.7212987841139956,0.017424947239419793,-0.5487423855807978,0.013658825499620497,0.7214752208989628,0.7202130257158255
JP_svd100,0.6282930963179911,0.011802625047864598,0.5891855946441881,0.014415393081008653,-0.6467496075729124,0.004209852427203116,0.6254321936227429,0.5869493346398479
EI_svd300,0.7681158771804937,0.0030677400660544542,0.6787651473297397,0.0031442493031240077,-0.5102820386616159,0.006677359395231397,0.7660391855551287,0.6727771445017978
NS_svd300,0.8633070962230764,0.0008831633177570007,0.8039892103720561,0.0006773167258844427,-0.3749807281356025,0.0066081657511376695,0.8632347291586631,0.8024411055377847
FT_svd300,0.716893715974807,0.019812241689270715,0.7152625255782114,0.019230829838500153,-0.5531338915898585,0.015152565019124238,0.7210910487898579,0.7198442685403118
JP_svd300,0.6220360539928542,0.004984508607266478,0.5780105116749027,0.005563300120236317,-0.6478141015483133,0.004910226991283547,0.641183250096043,0.5964555750707279
